n,max_steps,field_width,field_height,field_depth,r_o,r_a,group_dir,group_rho
12.0,3933.0,26.64,12.61,10.83,11.0,3.0,0.8377772693390991,0.14630755413239607
12.0,3947.0,30.94,17.38,7.47,3.0,11.0,0.7055935673154244,0.39082929392732696
12.0,3996.0,27.43,12.95,7.37,0.0,5.0,0.35706566730273415,0.21568594726050727
12.0,3934.0,27.82,15.32,8.83,14.0,9.0,0.9154698477500746,0.2714078547928864
12.0,3929.0,28.13,9.05,6.61,10.0,0.0,0.8845118640351081,0.2841043793961714
12.0,3928.0,27.97,12.59,10.67,4.0,14.0,0.6928449755219751,0.5205584889249805
12.0,3992.0,27.45,15.68,6.68,1.0,6.0,0.17808140838486297,0.21969377241173035
12.0,3964.0,33.54,9.82,8.58,13.0,8.0,0.9236575641095826,0.1261082323231872
12.0,3950.0,28.36,13.06,11.85,12.0,13.0,0.8907758787906918,0.11171957253991659
12.0,3960.0,28.2,9.01,11.21,2.0,1.0,0.28145297304843314,0.5519162165076731
12.0,3974.0,25.95,9.57,5.15,6.0,2.0,0.6399661750702257,0.27420373259465847
12.0,3967.0,28.35,14.32,12.48,8.0,12.0,0.6991952811912245,0.09053689175183187
12.0,3936.0,27.85,14.42,8.55,9.0,10.0,0.6811196149643558,0.2776403366251811
12.0,3932.0,29.14,11.78,9.17,5.0,4.0,0.3540046022768492,0.17688674701185783
10.0,3997.0,29.11,11.94,10.03,7.0,7.0,0.44383132757905636,0.5206934043666951
10.0,3904.0,28.68,9.92,6.97,11.0,3.0,0.9983609848860505,0.07540448829078523
10.0,3941.0,25.64,10.64,7.32,3.0,11.0,0.7204487630763745,0.46678973227110865
10.0,3987.0,26.49,13.86,8.26,0.0,5.0,0.36734440719053413,0.3885283966304851
10.0,3903.0,26.73,12.76,9.37,14.0,9.0,0.9982773217552131,0.1824354839866394
10.0,3991.0,29.57,12.29,12.15,10.0,0.0,0.34960511835970404,0.5403548533721486
10.0,3967.0,31.56,11.63,10.02,4.0,14.0,0.6845588375032022,0.36310663042828617
10.0,3939.0,30.03,14.37,9.76,1.0,6.0,0.1407426771903783,0.236442793131702
10.0,3922.0,24.37,13.49,4.98,13.0,8.0,0.9990476918521465,0.12327366725461482
10.0,3957.0,30.16,13.66,8.87,12.0,13.0,0.7688138415978011,0.11804685517499063
10.0,3904.0,27.32,11.07,9.97,2.0,1.0,0.3404722602846469,0.2594191758090679
10.0,3985.0,28.67,7.65,7.98,6.0,2.0,0.9204157390522422,0.2136471941875926
10.0,3920.0,32.23,16.96,5.74,8.0,12.0,0.7952372912163588,0.24299719641201495
10.0,3928.0,27.77,11.78,9.86,9.0,10.0,0.9373174933984882,0.10954814943281319
10.0,3932.0,30.03,10.74,8.42,5.0,4.0,0.8840465824850036,0.16517603669924658
